               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.051004,            0.019104,            0.037117,              0.5653,             0.86004,             0.65275,             0.32928,            0.032298,            0.010392,            0.025069,           0.0010874,           0.0010874,            0.090087
                  37,            0.048662,            0.019163,            0.036765,             0.53762,             0.82403,             0.67767,             0.34722,            0.030882,              0.0104,            0.024473,           0.0011163,           0.0011163,            0.089816
                  38,            0.045101,            0.019576,             0.03659,             0.51985,               0.875,             0.65464,             0.34554,            0.028226,            0.010667,            0.024278,           0.0011452,           0.0011452,            0.089545
                  39,            0.044523,             0.01949,            0.035368,             0.59382,                 0.8,             0.68835,              0.2635,            0.029884,            0.010804,            0.024173,            0.001174,            0.001174,            0.089274
                  40,            0.051409,            0.017856,            0.035755,             0.59838,                 0.8,             0.64578,             0.30883,            0.028265,            0.010779,            0.024188,           0.0012028,           0.0012028,            0.089003
                  41,            0.048965,            0.015914,            0.036171,             0.63226,                 0.9,             0.71798,             0.22212,             0.03051,            0.010461,            0.023783,           0.0012314,           0.0012314,            0.088731
                  42,            0.046971,            0.018343,             0.03402,             0.62995,               0.925,             0.73187,             0.38037,            0.022957,            0.010232,            0.023296,           0.0012601,           0.0012601,             0.08846
                  43,            0.045619,            0.017218,            0.034865,             0.63735,               0.925,             0.72292,             0.47833,            0.023831,           0.0099942,            0.022979,           0.0012886,           0.0012886,            0.088189
                  44,            0.045428,            0.015751,             0.03367,              0.6349,             0.79441,             0.69852,             0.20606,            0.028463,            0.010211,            0.022729,           0.0013171,           0.0013171,            0.087917
                  45,            0.046923,            0.020107,            0.033639,             0.55495,               0.875,             0.75375,             0.43121,             0.02481,            0.009732,              0.0224,           0.0013455,           0.0013455,            0.087646
                  46,            0.043775,            0.019876,            0.033381,             0.53264,               0.875,             0.74609,             0.45311,            0.022504,           0.0097625,            0.022094,           0.0013739,           0.0013739,            0.087374
                  47,            0.046489,            0.016161,            0.034432,             0.54474,                 0.9,             0.78497,             0.38769,            0.022157,            0.009707,            0.021906,           0.0014021,           0.0014021,            0.087102
                  48,            0.048082,            0.018392,            0.034077,             0.49865,             0.52178,             0.49866,             0.07639,            0.027551,           0.0097191,            0.021838,           0.0014303,           0.0014303,             0.08683
                  49,            0.046601,             0.01604,            0.032218,             0.65825,             0.87486,             0.77428,             0.36434,            0.024141,           0.0094482,            0.021707,           0.0014585,           0.0014585,            0.086558
                  50,            0.044966,            0.016804,            0.033526,             0.51158,             0.62092,             0.53937,            0.092634,            0.027989,            0.009264,            0.021499,           0.0014865,           0.0014865,            0.086287
                  51,            0.041333,            0.015197,            0.033058,             0.56879,             0.61263,             0.54165,            0.099784,            0.024539,           0.0090898,            0.021465,           0.0015145,           0.0015145,            0.086014
                  52,            0.041599,              0.0143,            0.031827,             0.66765,             0.84141,             0.74551,             0.21515,            0.024421,           0.0090187,            0.021379,           0.0015424,           0.0015424,            0.085742
                  53,            0.042217,            0.014958,            0.032531,             0.62902,             0.90461,             0.75703,             0.32057,            0.024095,           0.0088987,            0.021342,           0.0015702,           0.0015702,             0.08547
                  54,            0.042618,            0.014013,            0.030796,             0.50896,             0.89358,             0.65584,             0.17382,            0.023928,            0.008727,            0.021113,           0.0015979,           0.0015979,            0.085198
                  55,            0.044342,            0.016763,            0.032079,             0.58073,               0.875,             0.70426,             0.24365,            0.026744,           0.0086775,            0.021038,           0.0016256,           0.0016256,            0.084926
                  56,            0.041709,            0.017689,            0.031401,             0.18307,               0.925,             0.20067,            0.041642,            0.039657,           0.0087228,            0.020943,           0.0016531,           0.0016531,            0.084653
                  57,            0.058327,            0.016185,            0.032203,             0.55442,             0.82277,             0.65675,              0.3216,            0.030769,           0.0081918,            0.020942,           0.0016806,           0.0016806,            0.084381
                  58,            0.044237,            0.015487,             0.03175,             0.32332,                 0.8,             0.49578,             0.15313,            0.034514,           0.0085138,            0.020855,            0.001708,            0.001708,            0.084108
                  59,            0.054873,            0.015644,            0.031565,             0.31666,             0.79344,             0.56001,             0.12534,            0.034895,           0.0084039,             0.02076,           0.0017353,           0.0017353,            0.083835
                  60,            0.050216,            0.014538,            0.031995,             0.29883,             0.89639,             0.53687,             0.13583,            0.034393,           0.0083387,            0.020667,           0.0017625,           0.0017625,            0.083562
                  61,            0.055645,            0.015575,            0.032419,             0.21015,               0.925,             0.46757,             0.20513,            0.038455,           0.0083929,             0.02068,           0.0017896,           0.0017896,             0.08329
                  62,            0.055964,            0.016163,            0.031867,             0.44722,             0.93448,             0.63905,             0.16937,            0.029687,           0.0084321,             0.02064,           0.0018166,           0.0018166,            0.083017
                  63,            0.049023,            0.015153,            0.030849,              0.3351,             0.77365,             0.55292,             0.40334,             0.04192,           0.0076588,            0.020542,           0.0018435,           0.0018435,            0.082744
                  64,            0.057668,            0.015444,            0.031422,             0.44338,             0.84265,             0.60021,             0.30709,            0.030683,            0.008056,            0.020532,           0.0018704,           0.0018704,             0.08247
                  65,            0.050298,            0.013724,            0.030243,             0.40233,             0.72991,             0.46747,               0.172,            0.047928,           0.0072797,            0.020697,           0.0018971,           0.0018971,            0.082197
                  66,            0.060799,            0.013113,            0.030682,             0.40359,               0.925,             0.52039,             0.11095,            0.051502,           0.0071273,            0.020781,           0.0019237,           0.0019237,            0.081924
                  67,            0.056488,            0.013627,            0.030927,             0.40495,              0.8944,             0.55848,             0.17349,            0.040138,           0.0076807,            0.020646,           0.0019502,           0.0019502,             0.08165
                  68,            0.051851,            0.014043,            0.030847,             0.45564,               0.525,             0.46211,             0.10249,            0.039351,           0.0079134,            0.020544,           0.0019767,           0.0019767,            0.081377
                  69,            0.054358,            0.015579,            0.030204,             0.36599,                0.85,             0.54075,             0.21199,            0.029547,           0.0082198,            0.020448,            0.002003,            0.002003,            0.081103
                  70,            0.045446,            0.013497,            0.031756,             0.46285,               0.925,             0.56214,             0.21505,            0.032147,           0.0081194,            0.020348,           0.0020292,           0.0020292,            0.080829
                  71,             0.04881,            0.018137,            0.030626,             0.40594,                 0.9,              0.5032,             0.21305,            0.029886,           0.0080516,              0.0203,           0.0020553,           0.0020553,            0.080555
                  72,            0.051347,            0.014893,             0.03022,              0.3455,             0.89864,             0.55228,             0.30366,            0.033379,           0.0078618,            0.019987,           0.0020813,           0.0020813,            0.080281
                  73,            0.053546,            0.016001,            0.031316,              0.4389,                 0.6,             0.54486,             0.31104,            0.032379,           0.0077675,            0.019968,           0.0021072,           0.0021072,            0.080007
                  74,            0.048956,            0.015763,            0.030211,             0.39812,                 0.8,             0.57576,             0.23357,            0.031868,           0.0076328,            0.019997,            0.002133,            0.002133,            0.079733
                  75,            0.051463,            0.015409,            0.030198,             0.34191,                0.95,             0.56762,             0.24159,            0.033818,           0.0075986,            0.019897,           0.0021587,           0.0021587,            0.079459
                  76,            0.052952,            0.013128,            0.029718,             0.40569,             0.83945,             0.60451,              0.2708,            0.028345,           0.0076794,            0.019828,           0.0021842,           0.0021842,            0.079184
                  77,            0.047784,            0.013901,            0.029642,             0.31583,               0.725,             0.53022,             0.25183,            0.033118,           0.0074078,            0.019666,           0.0022097,           0.0022097,             0.07891
                  78,            0.044824,            0.016866,            0.029303,             0.44134,             0.92381,             0.69087,             0.27414,            0.028643,           0.0076385,            0.019419,            0.002235,            0.002235,            0.078635
                  79,            0.052304,            0.015511,            0.029399,                0.28,               0.925,             0.50047,             0.25552,            0.032699,           0.0074505,            0.019365,           0.0022602,           0.0022602,             0.07836
                  80,            0.044799,            0.014614,            0.029389,             0.31636,               0.475,             0.48669,             0.12324,            0.037987,           0.0073304,            0.019206,           0.0022853,           0.0022853,            0.078085
                  81,            0.053981,            0.014937,            0.029012,             0.38633,               0.525,             0.61133,             0.18711,            0.035507,           0.0073332,            0.019227,           0.0023103,           0.0023103,             0.07781
                  82,            0.049825,            0.014928,            0.028448,             0.47136,             0.51598,             0.63498,             0.37261,            0.030088,           0.0075675,            0.019226,           0.0023351,           0.0023351,            0.077535
                  83,             0.05137,            0.014054,            0.029265,             0.23907,                 0.9,             0.33625,            0.088282,            0.032403,           0.0075121,            0.019125,           0.0023599,           0.0023599,             0.07726
                  84,            0.059016,            0.012498,            0.030159,             0.57962,               0.875,             0.71098,               0.235,            0.027611,           0.0075312,            0.019401,           0.0023845,           0.0023845,            0.076984
                  85,             0.05954,            0.011783,            0.029425,             0.43494,                 0.8,             0.62301,             0.13383,             0.04166,           0.0067818,            0.019642,           0.0024089,           0.0024089,            0.076709
                  86,            0.054808,            0.011421,            0.029987,             0.71104,             0.77424,             0.75157,             0.39667,            0.031181,           0.0069579,            0.019539,           0.0024333,           0.0024333,            0.076433
