               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1135,            0.017437,            0.081916,            0.021375,                0.35,            0.018341,           0.0046395,            0.064893,            0.013509,            0.045731,               2e-05,               2e-05,             0.09982
                   1,             0.11198,            0.018753,            0.081343,            0.022743,                 0.4,            0.021847,           0.0053197,            0.064254,            0.013564,            0.045503,          4.5703e-05,          4.5703e-05,            0.099546
                   2,             0.10975,            0.020312,            0.080011,            0.023034,               0.425,            0.025189,           0.0056655,            0.063389,            0.013668,             0.04522,          5.5125e-05,          5.5125e-05,            0.099255
                   3,             0.10545,             0.01975,            0.078187,            0.022785,               0.475,            0.026752,           0.0063799,            0.062489,            0.013785,            0.044936,          4.5204e-05,          4.5204e-05,            0.098945
                   4,             0.10576,            0.018561,            0.078885,            0.020014,                0.45,            0.024173,           0.0044003,            0.061689,            0.013877,            0.044654,          2.6032e-05,          2.6032e-05,            0.098626
