               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086041,           0.0056739,            0.052113,           0.0015106,               0.025,          0.00083273,          8.3273e-05,            0.083816,           0.0022157,            0.051322,             0.00039,             0.00039,             0.09649
                   1,            0.087964,           0.0068281,            0.053032,          0.00081833,               0.025,          0.00045361,          4.5361e-05,            0.083361,           0.0023708,            0.049832,          0.00072211,          0.00072211,            0.092822
                   2,            0.087714,           0.0070733,            0.051764,                   0,                   0,                   0,                   0,            0.080979,            0.002952,            0.049395,          0.00081998,          0.00081998,             0.08892
